l,d,k,dsize,T,t_single_s,t_skip_s,t_tail_s,t_batch_s,marginal_s,shareable_frac,t_verify_s,all_verified
20,3,2,10,1,0.04158,0.01918,0.02237,0.04142,0.02237,0.4619,0.00861,true
20,3,2,10,2,0.04158,0.01918,0.02237,0.06392,0.02250,0.4588,0.00861,true
20,3,2,10,4,0.04158,0.01918,0.02237,0.10774,0.02211,0.4683,0.00861,true
20,3,2,10,8,0.04158,0.01918,0.02237,0.19749,0.02230,0.4637,0.00861,true
20,3,2,10,16,0.04158,0.01918,0.02237,0.38159,0.02268,0.4546,0.00861,true
20,3,3,22,1,0.05183,0.03838,0.01398,0.05198,0.01398,0.7302,0.00632,true
20,3,3,22,2,0.05183,0.03838,0.01398,0.06544,0.01346,0.7402,0.00632,true
20,3,3,22,4,0.05183,0.03838,0.01398,0.09344,0.01382,0.7333,0.00632,true
20,3,3,22,8,0.05183,0.03838,0.01398,0.14585,0.01341,0.7412,0.00632,true
20,3,3,22,16,0.05183,0.03838,0.01398,0.25015,0.01321,0.7451,0.00632,true
20,3,4,46,1,0.08045,0.07229,0.00841,0.08044,0.00841,0.8955,0.00517,true
20,3,4,46,2,0.08045,0.07229,0.00841,0.08844,0.00799,0.9006,0.00517,true
20,3,4,46,4,0.08045,0.07229,0.00841,0.10468,0.00808,0.8996,0.00517,true
20,3,4,46,8,0.08045,0.07229,0.00841,0.13839,0.00828,0.8971,0.00517,true
20,3,4,46,16,0.08045,0.07229,0.00841,0.20550,0.00834,0.8964,0.00517,true
20,3,5,94,1,0.14482,0.14073,0.00589,0.14660,0.00589,0.9593,0.00452,true
20,3,5,94,2,0.14482,0.14073,0.00589,0.15241,0.00581,0.9599,0.00452,true
20,3,5,94,4,0.14482,0.14073,0.00589,0.16430,0.00590,0.9593,0.00452,true
20,3,5,94,8,0.14482,0.14073,0.00589,0.18862,0.00600,0.9585,0.00452,true
20,3,5,94,16,0.14482,0.14073,0.00589,0.23617,0.00597,0.9588,0.00452,true
